pool,metric,n_follow,rebalance,screen,n_elig,smart_sharpe,anti_sharpe,all_sharpe,smart_pnl,anti_pnl,all_pnl,spread_anti,spread_all
all,pnl_90d,5,14,off,50,0.2098,0.2299,0.2216,0.0962,0.1531,0.1475,-0.0201,-0.0118
all,pnl_90d,5,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_90d,5,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_90d,10,7,on,42,0.1513,0.5815,0.4784,0.0514,0.6548,0.3715,-0.4302,-0.3271
all,pnl_90d,10,7,off,50,0.1045,0.5815,0.4801,0.0356,0.6548,0.3726,-0.477,-0.3756
all,pnl_90d,10,14,on,42,0.2097,0.2344,0.2198,0.0962,0.1561,0.1464,-0.0247,-0.0101
all,pnl_90d,10,14,off,50,0.1749,0.2344,0.2216,0.0804,0.1561,0.1475,-0.0595,-0.0467
all,pnl_90d,10,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_90d,10,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,roi,3,7,on,42,-0.1714,0.4407,0.4784,-0.0312,0.4886,0.3715,-0.6121,-0.6498
all,roi,3,7,off,50,-0.1714,0.4407,0.4801,-0.0312,0.4886,0.3726,-0.6121,-0.6515
all,roi,3,14,on,42,0.0421,-0.0747,0.2198,0.0112,-0.0427,0.1464,0.1168,-0.1777
